frame,cx,cy,scale
227,0.0,120.0,1.35
228,0.0,120.0,1.35
229,0.0,120.0,1.35
230,0.0,120.0,1.35
231,0.0,120.0,1.35
232,0.0,120.0,1.35
233,0.0,120.0,1.35
234,0.0,120.0,1.35
235,0.0,120.0,1.35
236,0.0,120.0,1.35
237,0.0,120.0,1.35
238,0.0,120.0,1.35
239,0.0,120.0,1.35
240,0.0,120.0,1.35
241,0.0,120.0,1.35
242,0.0,120.0,1.35
243,0.0,120.0,1.35
244,0.0,120.0,1.35
245,0.0,120.0,1.35
246,0.0,120.0,1.35
247,0.0,120.0,1.35
248,0.0,120.0,1.35
249,0.0,120.0,1.35
250,0.0,120.0,1.35
251,0.0,120.0,1.35
252,0.0,120.0,1.35
253,0.0,120.0,1.35
254,0.0,120.0,1.35
255,0.0,120.0,1.35
256,0.0,120.0,1.35
257,0.0,120.0,1.35
258,0.0,120.0,1.35
259,0.0,120.0,1.35
260,0.0,120.0,1.35
261,0.0,120.0,1.35
262,0.0,120.0,1.35
263,0.0,120.0,1.35
264,0.0,120.0,1.35
265,0.0,120.0,1.35
266,0.0,120.0,1.35
267,0.0,120.0,1.35
268,0.0,120.0,1.35
269,0.0,120.0,1.35
270,0.0,120.0,1.35
271,0.0,120.0,1.35
272,0.0,120.0,1.35
273,0.0,120.0,1.35
274,0.0,120.0,1.35
275,0.0,120.0,1.35
276,0.0,120.0,1.35
